id,name,editor,icon,description,is_cracked,source,category,argument
1,Google Chrome,Google LLC,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Google_Chrome_icon_%28February_2022%29.svg/1024px-Google_Chrome_icon_%28February_2022%29.svg.png,"Navigateur web.
",0,winget,Bureautique,install -e --id Google.Chrome
2,Mozilla Firefox,Mozilla,https://store-images.s-microsoft.com/image/apps.26422.14473293538384797.ed62a13f-c9ba-478e-9f33-7fd3515b0820.37a70641-3de3-41b1-9c94-3cb0cfc663c2,"Installez le navigateur soutenu par un organisme à but non lucratif.

Une nouvelle ère s'ouvre dans le monde de la tech. Ne vous contentez pas d'un navigateur produit par les géants de la tech : Firefox est le choix évident pour une technologie indépendante et éthique qui respecte votre vie privée et vous offre plus de possibilités que jamais de personnaliser votre expérience.

RAPIDE. CONFIDENTIEL. SÛR.
Firefox permet une navigation plus rapide et une protection totale contre les cookies qui bloque des traqueurs en ligne vous permettant ainsi de naviguer l'esprit tranquille et de garder le contrôle sur vos données personnelles.

SYNCHRONISATION DU NAVIGATEUR
Avec Firefox, vous pouvez reprendre vos activités là où vous les avez laissées en passant de votre ordinateur à votre téléphone, puis à votre tablette. Firefox vous permet d’accéder à vos marque-pages, votre historique de navigation, vos mots de passe enregistrés et plus encore, quel que soit l’appareil utilisé.

GESTIONNAIRE DE MOTS DE PASSE GRATUIT 
Avec un compte Mozilla gratuit, vous pouvez synchroniser de façon sécurisée tous vos mots de passe sur tous vos appareils. Firefox stocke de manière sécurisée vos identifiants et mots de passe d’accès aux sites web, les remplit automatiquement chaque fois que vous visitez ces sites, et vous aide à gérer vos identifiants stockés grâce à sa fonction de gestion de mots de passe intégrée.

MODIFIEZ DES PDF FACILEMENT
Affichez et modifiez des PDF avec l’éditeur PDF intégré de Firefox. Ajoutez du texte, signez, et surlignez des documents PDF directement dans votre navigateur. 

LE MULTIT CHE SIMPLIFIÉ 
Grâce aux vidéos incrustées, vous pouvez extraire une vidéo de sa page web et les regarder dans une fenêtre pop-up à placer sur votre écran pendant que vous consultez d’autres pages, onglets et applications.

NAVIGATION PRIVÉE
La navigation privée efface les empreintes numériques que vous laissez derrière vous lorsque vous naviguez sur Internet. Lorsque vous fermerez la dernière fenêtre de navigation privée, votre historique de navigation et tous les cookies de pistage des sites web visités seront supprimés.

TRADUISEZ DES PAGES WEB EN TEMPS RÉEL
Alors que d’autres navigateurs font appel à des services de cloud, les modèles de traduction de Firefox Translations sont téléchargés directement dans votre navigateur. Ainsi, les traductions sont effectuées localement, et ni Mozilla ni personne d’autre n’accède pas aux pages que vous traduisez.

MODE LECTURE
Le mode lecture est une fonctionnalité de Firefox qui élimine l’encombrement visuel de la page web tel que les boutons, publicités, images de fond et vidéos tout en vous permettant de personnaliser la mise en page et le thème pour répondre à vos préférences de lecture.

PERSONNALISEZ VOTRE NAVIGATEUR FIREFOX
Les thèmes Firefox vous permettent de modifier l’apparence de votre navigateur. Il y a également des extensions quels que soient vos besoins : d’outils de sécurité, à des organisateurs d’onglet, jusqu’aux bloqueurs de publicité. Créez une expérience qui vous corresponde parfaitement.

NOUS QUESTIONNONS LE STATU QUO DEPUIS 1998
Firefox a été créé par Mozilla comme une alternative plus rapide et plus privée aux navigateurs comme Internet Explorer, et maintenant Chrome. Aujourd’hui, notre entreprise et notre communauté de bénévoles, toutes deux au service de notre mission, continuent de placer votre vie privée au-dessus de tout.",0,winget,Bureautique,install -e --id Mozilla.Firefox
3,VLC,VideoLAN,https://upload.wikimedia.org/wikipedia/commons/e/e6/VLC_Icon.svg,"Lecteur multimédia open-source conçu pour ouvrir un maximum de fichiers vidéos.
",0,winget,Bureautique,install -e --id VideoLAN.VLC
4,7zip,7zip,https://www.7-zip.org/7ziplogo.png,"Désarchivage de fichiers compresser.
",0,winget,Bureautique,install -e --id 7zip.7zip
5,Adobe Acrobat Reader DC,ADOBE INC.,https://images-eds-ssl.xboxlive.com/image?url=4rt9.lXDC4H_93laV1_eHHFT949fUipzkiFOBH3fAiZZUCdYojwUyX2aTonS1aIwMrx6NUIsHfUHSLzjGJFxxlyvkTw3vm8lDHAT6SkekwHK5McexnQfJnU3ke7B.QbDqP_TcdiO1.z2kM73MRccswMrzWFeva2wYZgzga4SNe0-&format=source,"La solution PDF gratuite Adobe Acrobat Reader est la référence mondiale pour consulter, imprimer, signer électroniquement, partager et annoter des PDF en toute confiance. L’abonnement à Adobe Acrobat vous permet d’effectuer encore plus de tâches avec vos PDF. 
Fonctionnalités gratuites : 
Consultez des PDF : interagissez avec tous types de contenus PDF, notamment des formulaires et des fichiers multimédias. 
Annotez et commentez aisément des PDF : apposez des notes, saisissez du texte directement dans les pages, surlignez, soulignez ou barrez du texte, et dessinez à l’écran à l’aide d'outils de dessin à main levée. 
Remplissez, signez électroniquement et verrouillez des formulaires : remplissez et signez électroniquement des formulaires PDF en un clin d’œil et partagez des exemplaires verrouillés qui ne seront pas valides s’ils sont modifiés. 
Améliorez la collaboration grâce aux PDF : partagez des PDF et recueillez des commentaires de plusieurs personnes dans un même document. Les destinataires reçoivent un e-mail contenant un lien vers votre fichier PDF. Il leur suffit de cliquer dessus pour ouvrir, consulter et commenter le document. Les destinataires peuvent répondre aux commentaires de leurs collègues et vous recevez une notification pour chaque action réalisée sur le fichier. C’est aussi simple que cela ! 
L’abonnement Adobe Acrobat permet de modifier, de convertir et de protéger à l’aide de mots de passe des fichiers PDF et plus encore depuis une seule application.

L’installation requiert un accès administrateur.",0,winget,Bureautique,install -e --id Adobe.Acrobat.Reader.64-bit
6,Sublime Text 4,Sublime HQ Pty Ltd,https://upload.wikimedia.org/wikipedia/fr/7/78/Sublime_text_logo.png,"Sublime est un éditeur de texte multiplateforme sophistiqué pour le code, le balisage.
",0,winget,Developpement,install -e --id SublimeHQ.SublimeText.4
7,TreeSize Free,JAM Software,https://images-eds-ssl.xboxlive.com/image?url=4rt9.lXDC4H_93laV1_eHHFT949fUipzkiFOBH3fAiZZUCdYojwUyX2aTonS1aIwMrx6NUIsHfUHSLzjGJFxxjGP4QeDYBE3DdDCqCfj640Qvfgxfi6yk2oVQk0wdePxUpTQ4bp4aBapo6j2ksY8AQ1dsneAAg_g.wIhNl_5lPM-&format=source,"Chaque disque dur est trop petit si vous attendez trop longtemps. TreeSize Free vous indique oï¿½ se trouve l'espace disque prï¿½cieux.
",0,winget,Utilitaires,install -e --id JAMSoftware.TreeSize.Free
8,Visual Studio Code,Microsoft Corporation,https://images-eds-ssl.xboxlive.com/image?url=4rt9.lXDC4H_93laV1_eHM0OYfiFeMI2p9MWie0CvL99U4GA1gf6_kayTt_kBblFwHwo8BW8JXlqfnYxKPmmBRXp912Lw.0Yxg2DfVOh1gnKXRQeKb8m8DA2Jkx6Xwk0yYA23Ude.JrHx3QjJv9hvUNKZhFYJFJP2QtF6zREDZk-&format=source,"Microsoft Visual Studio Code est un éditeur de code redéfini et optimisé pour la création et le débogage d'applications Web et cloud modernes.
",0,winget,Developpement,install -e --id Microsoft.VisualStudioCode
9,Node.js,Node.js Foundation,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Node.js_logo.svg/2560px-Node.js_logo.svg.png,"Node.jsï¿½ est un environnement d'exï¿½cution JavaScript open source et multiplateforme.
",0,winget,Developpement,install -e --id OpenJS.NodeJS
10,Everything,voidtools,https://www.voidtools.com/Everything.ico,Everything est un moteur de recherche qui localise instantanï¿½ment les fichiers et les dossiers par nom de fichier pour Windows.,0,winget,Utilitaire,install -e --id voidtools.Everything
